monitor,waterbody,date,sitecode,sitedescription,gear,timeperiod,sitedepth,numberanglers,hoursangling,gnmeshtype,gnwatercolumn,gnhabitat,gnsoakhours,gndepth,eastingds,northingds,eastingus,northingus,pass,sitelengthm,efseconds,crew,bt,cal,chjuv,ch,cojuv,co,kojuv,ko,nsc,pmc,mw,rb,rsc,sk,st,bsu,other,totalcount,wind,cloudcover,surfacetemp,surfaceturbidity,secchi,dailycomments
brgmon4,cl,2015-07-06,,gn9:gn10,gn,day,10.0,2,,ric,bottom,pelagic,0.25,10.0,,,,,,,,"CM,Sp",0,,,,,,,,,,,,,,,,,0,low,0,,,,"For provincial permitting I said this gn site was at Girl Creek (i.e., somewhere in the middle of gn9:gn10"
brgmon4,cl,2015-07-06,,gn9:gn10,gn,day,8.0,2,,ric,bottom,pelagic,0.25,8.0,,,,,,,,"CM,Sp",0,,,,,,,,,,,,,,,,,0,low,0,,,,
brgmon4,cl,2015-07-06,,gn9:gn10,gn,day,5.0,2,,ric,bottom,pelagic,0.25,5.0,,,,,,,,"CM,Sp",0,,,,,,,,,,,,,,,,,0,low,0,,,,
brgmon4,cl,2015-07-06,,gn9:gn10,an,day,5.0,2,0.25,,,,,,,,,,,,,"CM,Sp",0,,,,,,,,,,,,,,,,,0,low,0,,,,
brgmon4,cl,2015-07-06,,gun bluff(rocks across from mouth),an,day,,2,2.00,,,,,,,,,,,,,"CM,Sp",9,,,,,,,,,,,,,,,,,9,low,0,,,,
brgmon4,cl,2015-07-06,cl_016,gun creek,an,day,,2,5.30,,,,,,,,,,,,,"CM,Sp",37,,,,,,,,,,,,,,,,,37,low,0,,,,
brgmon4,cl,2015-07-06,cl_008,truax creek,an,day,,3,3.00,,,,,,,,,,,,,"AP,RJ,ES",31,,,,,,,,,,,,,,,,,31,low,75,,,,
brgmon4,cl,2015-07-07,cl_026,girl,an,day,,2,1.25,,,,,,,,,,,,,"ES,RJ",8,,,,,,,,,,,,,,,,,8,low,75,,,,
brgmon4,cl,2015-07-07,cl_019,marshall,an,day,,2,0.83,,,,,,,,,,,,,"ES,CM",1,,,,,,,,,,,,,,,,,1,low,75,,,,
brgmon4,cl,2015-07-07,cl_023,tommy creek (an),an,day,,2,5.00,,,,,,,,,,,,,"ES,CM",12,,,,,,,,,,,4,,,,,,16,low,75,,,,
brgmon4,cl,2015-07-07,,50m off tommy mouth gn7:gn8,gn,day,5.0,2,,2,bottom,pelagic,0.27,5.0,,,,,,,,"ES,CM",,,,,,,,,,,,,,,,2,,2,low,75,,,,
brgmon4,cl,2015-07-07,,100m off tommy mouth,gn,day,7.0,2,,2,bottom,pelagic,0.25,7.0,,,,,,,,"ES,CM",,,,,,,,,,,,,,,,8,,8,low,75,,,,"(males milting), spawning colors"
brgmon4,cl,2015-07-07,,50m off tommy mouth (set parallel to shore),gn,day,5.0,2,,2,bottom,pelagic,0.20,5.0,,,,,,,,"ES,CM",,,,,,,,,,,,,,,,2,,2,low,75,,,,
brgmon4,cl   ,2015-07-29,cl_032,williams creek confluence,ef,night ,1.5,3,,,,,,,,,,,,50,251,JS/ES/RJ,3,,,,,,,,,,10,1,,,,15,,29,calm,0,19.0,high,,
brgmon4,cl   ,2015-07-29,cl_032,williams creek confluence,ef,night ,1.5,3,,,,,,,,,,,,185,530,JS/ES/RJ,,,,,,,,,,,78,,,,,45,,123,calm,0,18.9,high,,
brgmon4,cl   ,2015-07-29,cl_008,truax creek confluence,ef,night ,1.6,3,,,,,,,,,,,,50,535,JS/ES/RJ,10,,,,,,,10,,,,,,,,,,20,calm,0,18.6,high,,too any to count
brgmon4,cl   ,2015-07-29,cl_024,tyaughton creek steep habitat,ef,night ,2.5,3,,,,,,,,,,,,600,1215,JS/ES/RJ,,,,,,,,1,,,85,,,,,60,,146,calm,0,18.6,mod ,,
brgmon4,cl   ,2015-07-29,cl_024,tyaughton creek confluence,ef,night ,1.5,3,,,,,,,,,,,,70,275,JS/ES/RJ,,,,,,,,7,,,32,,,,,13,,52,calm,0,14.1,mod ,,
brgmon4,cl   ,2015-07-29,,"jeff sneep-1 steep, wpt 189-191",ef,night ,2.5,3,,,,,,,,,,,,180,289,JS/ES/RJ,,,,,,,,,,,56,,,,,48,,104,calm,0,19.0,mod ,,no fish to measure; steep habitat
brgmon4,cl   ,2015-07-29,,"jeff sneep-2 shallow, wpt191-192",ef,night ,1.3,3,,,,,,,,,,,,300,611,JS/ES/RJ,,,,,,,,,,,52,,,,,,,52,calm,0,19.0,mod ,,no fish to measure; steep habitat
brgmon4,cl   ,2015-07-29,cl_002,gene site 547,ef,night ,2.5,3,,,,,,,,,,,,315,542,JS/ES/RJ,,,,,,,,,,,,,,,,,,0,calm,0,19.1,mod ,,no fish to measure; steep habitat
brgmon4,cl   ,2015-07-30,cl_007,bobb creek confluence,ef,night ,2.0,3,,,,,,,,,,,,80,479,JS/ES/RJ,8,,,,,,,,,,5,1,,,,,,14,calm,0,20.1,high,,wpts 195-196
brgmon4,cl   ,2015-07-30,cl_033,gene site 719,ef,night ,1.5,3,,,,,,,,,,,,300,597,JS/ES/RJ,,,,,,,,,,,,,,,,,,0,calm,0,20.8,high,,"lots bsu,rsc but didn't count them; wpts197-198"
brgmon4,cl   ,2015-07-30,cl_023,tommy creek confluence,ef,night ,1.5,3,,,,,,,,,,,,130,459,JS/ES/RJ,9,,,,,,,2,,,13,1,,,,,,25,calm,0,20.3,mod ,,wpts199-200
brgmon4,cl   ,2015-07-30,,jeff sneep-3 steep wpts 201-203,ef,night ,2.5,3,,,,,,,,,,,,300,709,JS/ES/RJ,,,,,,,,,,,,,,,,,,0,calm,0,19.8,mod ,,"wpts201-203, no fish to measure"
brgmon4,cl   ,2015-07-30,cl_019,marshall creek confluence,ef,night ,1.5,3,,,,,,,,,,,,120,468,JS/ES/RJ,24,,,,,,,3,,,,5,,,,,,32,calm,0,19.5,high,,wpt 205
brgmon4,cl   ,2015-07-30,,jeff sneep-4 wpts 218-220,ef,night ,2.5,3,,,,,,,,,,,,300,578,JS/ES/RJ,,,,,,,,,,,,,,,,,,0,calm,0,20.2,mod ,,wpts 218-220 no fish to measure
brgmon4,cl   ,2015-07-27,,gn11:gn12; 500m from girl,gn,day,10.0,2,,2,bottom,pelagic,0.23,10.0,,,,,,,,cm/sp,,,,,,,,1,,,,,,,,,,1,,75,17.6,mod,,
brgmon4,cl   ,2015-07-27,,gn11:gn12; 300m from girl,gn,day,8.0,2,,2,bottom,pelagic,0.38,8.0,,,,,,,,cm/sp,,,,,,,,,,,,,,,,,,0,,75,17.6,mod,,
